show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s686,TV Show,The Gray Man 841,Harry Bradbeer,Ryan Gosling|Chris Evans,India,28-Feb-15,2007,R,4 Seasons,"Documentaries, Comedy",An emotional journey of hope and resilience.
s687,Movie,Wednesday 603,Tim Burton,Chris Hemsworth|Rudhraksh Jaiswal,United Kingdom,8-Dec-18,2006,R,159 min,"Thriller, Sci-Fi & Fantasy",Friends face extraordinary challenges together.
s688,Movie,You 630,Rawson Marshall Thurber,Henry Cavill|Sam Claflin,Japan,9-Jul-15,1990,PG-13,161 min,"Drama, Romance",Friends face extraordinary challenges together.
s689,TV Show,Money Heist 697,The Duffer Brothers,Lee Jung-jae|Park Hae-soo,Japan,22-Feb-21,2013,R,7 Seasons,"Drama, Crime",A thrilling adventure filled with suspense.
s690,Movie,You 460,Anthony Russo,Ryan Reynolds|Gal Gadot,France,3-Jun-24,2002,PG,110 min,"Comedy, Sci-Fi & Fantasy",A compelling story of courage and survival.
s691,Movie,Wednesday 940,Sam Hargrave,Úrsula Corberó|Álvaro Morte,United Kingdom,3-Jul-24,2011,PG,163 min,"Comedy, Crime",A compelling story of courage and survival.
s692,Movie,Red Notice 607,Harry Bradbeer,Robert De Niro|Al Pacino,South Korea,8-Sep-24,2005,TV-MA,136 min,"Documentaries, Comedy",Friends face extraordinary challenges together.
s693,Movie,Manifest 814,Sam Hargrave,Chris Hemsworth|Rudhraksh Jaiswal,Brazil,25-Jun-22,2018,TV-MA,180 min,"Documentaries, Sci-Fi & Fantasy",A compelling story of courage and survival.
s694,Movie,Narcos 321,Shawn Levy,Jenna Ortega|Luis Guzmán,United States,1-Oct-15,2018,TV-MA,82 min,"Sci-Fi & Fantasy, Documentaries",A mystery unfolds with unexpected twists.
s695,Movie,You 54,Rawson Marshall Thurber,Ryan Gosling|Chris Evans,France,2-Apr-16,1996,R,88 min,"Romance, Comedy",An emotional journey of hope and resilience.
s696,Movie,Bridgerton 815,Joe Russo,Chris Hemsworth|Rudhraksh Jaiswal,Canada,12-Aug-23,1991,PG-13,133 min,"Crime, Sci-Fi & Fantasy",A thrilling adventure filled with suspense.
s697,Movie,Wednesday Files 731,Shawn Levy,Úrsula Corberó|Álvaro Morte,Brazil,11-Apr-15,1998,R,88 min,"Sci-Fi & Fantasy, Action & Adventure",A mystery unfolds with unexpected twists.
s698,TV Show,Enola Holmes 141,Martin Scorsese,Ryan Reynolds|Gal Gadot,United Kingdom,4-Mar-19,2009,R,8 Seasons,"Romance, Sci-Fi & Fantasy",Friends face extraordinary challenges together.
s699,TV Show,Lucifer 317,Hwang Dong-hyuk,Robert De Niro|Al Pacino,South Korea,22-Apr-18,2013,TV-MA,3 Seasons,"Action & Adventure, Drama",A thrilling adventure filled with suspense.
s700,Movie,The Gray Man 206,Harry Bradbeer,Úrsula Corberó|Álvaro Morte,India,17-Sep-22,2011,TV-14,129 min,"Documentaries, Crime",A mystery unfolds with unexpected twists.
s701,TV Show,The Crown 337,Tim Burton,Chris Hemsworth|Rudhraksh Jaiswal,Japan,20-Sep-21,1992,PG-13,6 Seasons,"Thriller, Drama",A thrilling adventure filled with suspense.
s702,Movie,Enola Holmes 493,Anthony Russo,Ryan Gosling|Chris Evans,Spain,13-Oct-19,2015,TV-14,134 min,"Drama, Action & Adventure",A compelling story of courage and survival.
s703,Movie,You 118,Tim Burton,Millie Bobby Brown|Finn Wolfhard,Japan,3-Sep-15,2002,R,120 min,"Crime, Drama",A compelling story of courage and survival.
s704,Movie,The Irishman 225,Rawson Marshall Thurber,Jenna Ortega|Luis Guzmán,Canada,16-May-21,2025,TV-14,100 min,"Action & Adventure, Comedy",A compelling story of courage and survival.
s705,Movie,Red Notice 852,Harry Bradbeer,Jenna Ortega|Luis Guzmán,France,8-Apr-17,1997,PG,108 min,"Thriller, Action & Adventure",A mystery unfolds with unexpected twists.
s706,Movie,The Irishman 964,The Duffer Brothers,Ryan Gosling|Chris Evans,India,9-May-23,1997,TV-14,122 min,"Action & Adventure, Romance",A thrilling adventure filled with suspense.
s707,Movie,Dark 326,Hwang Dong-hyuk,Ryan Gosling|Chris Evans,Spain,26-Jun-23,1992,R,143 min,"Thriller, Romance",An emotional journey of hope and resilience.
s708,TV Show,Enola Holmes 55,Harry Bradbeer,Millie Bobby Brown|Finn Wolfhard,United Kingdom,8-May-22,2022,R,3 Seasons,"Documentaries, Comedy",A compelling story of courage and survival.
s709,TV Show,Manifest 398,Harry Bradbeer,Henry Cavill|Sam Claflin,Canada,3-Oct-18,2021,R,2 Seasons,"Documentaries, Comedy",Friends face extraordinary challenges together.
s710,TV Show,Lucifer 275,Hwang Dong-hyuk,Ryan Gosling|Chris Evans,Brazil,5-Feb-26,1992,TV-14,8 Seasons,"Thriller, Comedy",A mystery unfolds with unexpected twists.
s711,Movie,The Adam Project 436,Joe Russo,Jenna Ortega|Luis Guzmán,Canada,26-Nov-19,2006,R,125 min,"Comedy, Documentaries",A compelling story of courage and survival.
s712,TV Show,Enola Holmes 598,Martin Scorsese,Lee Jung-jae|Park Hae-soo,Germany,20-Nov-22,2011,PG-13,8 Seasons,"Documentaries, Thriller",A mystery unfolds with unexpected twists.
s713,TV Show,Ozark 280,Joe Russo,Ryan Reynolds|Gal Gadot,United Kingdom,27-Feb-26,2018,TV-14,6 Seasons,"Sci-Fi & Fantasy, Crime",A compelling story of courage and survival.
s714,TV Show,Manifest 526,The Duffer Brothers,Chris Hemsworth|Rudhraksh Jaiswal,South Korea,9-Aug-21,2004,TV-MA,2 Seasons,"Comedy, Drama",Friends face extraordinary challenges together.
s715,Movie,Ozark 202,Harry Bradbeer,Robert De Niro|Al Pacino,South Korea,29-Jun-19,2009,PG,144 min,"Thriller, Crime",An emotional journey of hope and resilience.
s716,Movie,Red Notice 789,Rawson Marshall Thurber,Millie Bobby Brown|Finn Wolfhard,Canada,9-Nov-20,2015,PG-13,171 min,"Drama, Thriller",An emotional journey of hope and resilience.
s717,Movie,Enola Holmes 741,Sam Hargrave,Lee Jung-jae|Park Hae-soo,Spain,8-Feb-20,2023,R,125 min,"Documentaries, Crime",A mystery unfolds with unexpected twists.
s718,TV Show,The Gray Man 440,Joe Russo,Úrsula Corberó|Álvaro Morte,Japan,8-Jan-22,2018,R,2 Seasons,"Drama, Action & Adventure",A thrilling adventure filled with suspense.
s719,Movie,Lucifer 830,Harry Bradbeer,Robert De Niro|Al Pacino,Canada,21-Mar-15,2004,PG-13,114 min,"Romance, Crime",A mystery unfolds with unexpected twists.
s720,TV Show,Outer Banks 805,Martin Scorsese,Jenna Ortega|Luis Guzmán,United Kingdom,10-Jul-15,2011,R,6 Seasons,"Romance, Thriller",A thrilling adventure filled with suspense.
s721,TV Show,The Gray Man 487,Shawn Levy,Robert De Niro|Al Pacino,Brazil,1-Sep-23,2018,PG,2 Seasons,"Comedy, Documentaries",A compelling story of courage and survival.
s722,Movie,Red Notice 192,Sam Hargrave,Chris Hemsworth|Rudhraksh Jaiswal,France,16-Dec-25,2008,TV-14,79 min,"Thriller, Action & Adventure",An emotional journey of hope and resilience.
s723,Movie,Dark 531,Martin Scorsese,Jenna Ortega|Luis Guzmán,Canada,15-Apr-16,2016,PG-13,133 min,"Action & Adventure, Drama",A thrilling adventure filled with suspense.
s724,TV Show,Narcos 979,Sam Hargrave,Jenna Ortega|Luis Guzmán,Spain,17-Jul-16,2009,PG-13,8 Seasons,"Documentaries, Comedy",An emotional journey of hope and resilience.
s725,TV Show,Bridgerton 283,Sam Hargrave,Ryan Reynolds|Gal Gadot,United Kingdom,9-Apr-26,2018,TV-MA,4 Seasons,"Romance, Sci-Fi & Fantasy",A thrilling adventure filled with suspense.
s726,TV Show,Bridgerton 590,Martin Scorsese,Chris Hemsworth|Rudhraksh Jaiswal,South Korea,27-Apr-25,2019,PG,8 Seasons,"Sci-Fi & Fantasy, Thriller",An emotional journey of hope and resilience.
s727,Movie,The Irishman 922,Hwang Dong-hyuk,Ryan Gosling|Chris Evans,Japan,2-Aug-20,2014,TV-14,128 min,"Comedy, Thriller",A compelling story of courage and survival.
s728,Movie,You 299,Harry Bradbeer,Chris Hemsworth|Rudhraksh Jaiswal,Spain,20-Feb-21,2021,PG-13,95 min,"Comedy, Action & Adventure",A compelling story of courage and survival.
s729,Movie,The Crown 462,Tim Burton,Millie Bobby Brown|Finn Wolfhard,Spain,24-Apr-22,2022,TV-MA,139 min,"Documentaries, Drama",A compelling story of courage and survival.
s730,TV Show,Narcos 877,Sam Hargrave,Ryan Gosling|Chris Evans,United States,16-Sep-22,1990,PG,7 Seasons,"Comedy, Crime",A thrilling adventure filled with suspense.
s731,TV Show,Bridgerton 70,Shawn Levy,Henry Cavill|Sam Claflin,Spain,15-Nov-25,2018,TV-14,8 Seasons,"Documentaries, Romance",Friends face extraordinary challenges together.
s732,Movie,Wednesday Files 103,Tim Burton,Millie Bobby Brown|Finn Wolfhard,India,28-May-15,2024,PG-13,96 min,"Action & Adventure, Drama",A compelling story of courage and survival.
s733,TV Show,Dark 183,Sam Hargrave,Ryan Reynolds|Gal Gadot,Germany,18-Nov-24,2003,PG-13,3 Seasons,"Drama, Romance",An emotional journey of hope and resilience.
s734,Movie,Bridgerton 54,Hwang Dong-hyuk,Ryan Reynolds|Gal Gadot,United States,30-Nov-21,2014,TV-14,124 min,"Thriller, Action & Adventure",A thrilling adventure filled with suspense.
s735,Movie,The Crown 29,Martin Scorsese,Robert De Niro|Al Pacino,Spain,12-May-15,1994,TV-14,86 min,"Comedy, Romance",A thrilling adventure filled with suspense.
s736,Movie,Manifest 111,Anthony Russo,Robert De Niro|Al Pacino,Germany,28-Apr-24,2002,R,80 min,"Thriller, Sci-Fi & Fantasy",A mystery unfolds with unexpected twists.
s737,TV Show,The Gray Man 109,Anthony Russo,Robert De Niro|Al Pacino,United Kingdom,18-Mar-20,1990,PG-13,2 Seasons,"Crime, Drama",A mystery unfolds with unexpected twists.
s738,Movie,Wednesday 674,Rawson Marshall Thurber,Robert De Niro|Al Pacino,United States,9-Dec-19,1994,TV-14,133 min,"Romance, Action & Adventure",An emotional journey of hope and resilience.
s739,TV Show,Squid Game 983,Shawn Levy,Robert De Niro|Al Pacino,France,5-Nov-18,1998,PG,2 Seasons,"Action & Adventure, Crime",Friends face extraordinary challenges together.
s740,TV Show,Red Notice 624,Hwang Dong-hyuk,Lee Jung-jae|Park Hae-soo,France,8-Jul-22,2022,TV-14,2 Seasons,"Drama, Comedy",A compelling story of courage and survival.
s741,Movie,The Crown 776,Sam Hargrave,Chris Hemsworth|Rudhraksh Jaiswal,United States,20-Apr-20,1998,PG,114 min,"Documentaries, Action & Adventure",A thrilling adventure filled with suspense.
s742,Movie,Extraction 244,Hwang Dong-hyuk,Lee Jung-jae|Park Hae-soo,Canada,2-Aug-19,1998,PG,123 min,"Crime, Documentaries",A compelling story of courage and survival.
s743,TV Show,Enola Holmes 868,Anthony Russo,Robert De Niro|Al Pacino,Spain,14-Jul-15,2003,R,5 Seasons,"Drama, Crime",A thrilling adventure filled with suspense.
s744,Movie,Manifest 330,Tim Burton,Lee Jung-jae|Park Hae-soo,United States,23-Jul-23,1994,PG-13,152 min,"Comedy, Documentaries",A compelling story of courage and survival.
s745,Movie,Wednesday 178,Hwang Dong-hyuk,Henry Cavill|Sam Claflin,Spain,25-Oct-17,2005,R,101 min,"Comedy, Thriller",A mystery unfolds with unexpected twists.
s746,TV Show,Enola Holmes 435,Tim Burton,Úrsula Corberó|Álvaro Morte,South Korea,7-Jun-19,2008,R,3 Seasons,"Documentaries, Crime",A thrilling adventure filled with suspense.
s747,TV Show,Dark 408,Joe Russo,Jenna Ortega|Luis Guzmán,Japan,17-Oct-16,2018,PG-13,8 Seasons,"Romance, Documentaries",A thrilling adventure filled with suspense.
s748,TV Show,The Crown 875,Shawn Levy,Millie Bobby Brown|Finn Wolfhard,Brazil,22-Jul-23,2024,TV-14,1 Seasons,"Action & Adventure, Documentaries",A mystery unfolds with unexpected twists.
s749,TV Show,The Adam Project 385,The Duffer Brothers,Lee Jung-jae|Park Hae-soo,India,4-Mar-25,2011,TV-14,5 Seasons,"Documentaries, Comedy",A thrilling adventure filled with suspense.
s750,Movie,Manifest 748,Anthony Russo,Lee Jung-jae|Park Hae-soo,France,16-Apr-15,2016,PG-13,75 min,"Crime, Thriller",A mystery unfolds with unexpected twists.
s751,TV Show,Extraction 944,Shawn Levy,Ryan Gosling|Chris Evans,Brazil,2-Mar-24,2000,TV-14,2 Seasons,"Romance, Action & Adventure",Friends face extraordinary challenges together.
s752,TV Show,Narcos 949,Joe Russo,Úrsula Corberó|Álvaro Morte,Spain,17-Apr-16,2020,TV-MA,6 Seasons,"Crime, Documentaries",A compelling story of courage and survival.
s753,Movie,Stranger Things 261,Sam Hargrave,Jenna Ortega|Luis Guzmán,United States,20-Mar-25,1997,TV-MA,108 min,"Romance, Thriller",An emotional journey of hope and resilience.
s754,Movie,The Crown 170,Joe Russo,Millie Bobby Brown|Finn Wolfhard,South Korea,27-Mar-19,2022,R,141 min,"Romance, Sci-Fi & Fantasy",Friends face extraordinary challenges together.
s755,TV Show,Outer Banks 796,Anthony Russo,Jenna Ortega|Luis Guzmán,South Korea,14-Jun-17,2003,PG-13,2 Seasons,"Sci-Fi & Fantasy, Drama",A thrilling adventure filled with suspense.
s756,TV Show,Wednesday 793,Joe Russo,Henry Cavill|Sam Claflin,France,4-Mar-17,2008,PG-13,1 Seasons,"Action & Adventure, Comedy",Friends face extraordinary challenges together.
s757,Movie,The Gray Man 499,Tim Burton,Henry Cavill|Sam Claflin,India,5-Jan-18,2018,R,165 min,"Thriller, Comedy",A thrilling adventure filled with suspense.
s758,Movie,The Gray Man 266,Joe Russo,Lee Jung-jae|Park Hae-soo,Brazil,5-Feb-19,1996,TV-14,170 min,"Comedy, Action & Adventure",A compelling story of courage and survival.
s759,TV Show,Wednesday 351,Martin Scorsese,Úrsula Corberó|Álvaro Morte,Japan,17-Mar-21,2021,TV-MA,2 Seasons,"Drama, Documentaries",Friends face extraordinary challenges together.
s760,Movie,Money Heist 217,The Duffer Brothers,Ryan Reynolds|Gal Gadot,France,9-Dec-15,2023,PG,160 min,"Documentaries, Thriller",Friends face extraordinary challenges together.
s761,TV Show,Ozark 323,Sam Hargrave,Robert De Niro|Al Pacino,France,26-Apr-23,2014,R,6 Seasons,"Drama, Action & Adventure",Friends face extraordinary challenges together.
s762,Movie,Narcos 743,Tim Burton,Ryan Reynolds|Gal Gadot,Brazil,1-Apr-25,1997,R,75 min,"Sci-Fi & Fantasy, Crime",A thrilling adventure filled with suspense.
s763,TV Show,Manifest 424,Harry Bradbeer,Úrsula Corberó|Álvaro Morte,United States,28-Aug-25,2010,TV-MA,8 Seasons,"Crime, Romance",A compelling story of courage and survival.
s764,TV Show,Wednesday Files 497,Joe Russo,Chris Hemsworth|Rudhraksh Jaiswal,Canada,28-Mar-20,2017,PG-13,8 Seasons,"Comedy, Crime",A mystery unfolds with unexpected twists.
s765,TV Show,Manifest 898,Hwang Dong-hyuk,Henry Cavill|Sam Claflin,United States,18-Mar-18,1998,PG-13,4 Seasons,"Comedy, Action & Adventure",An emotional journey of hope and resilience.
s766,TV Show,Money Heist 494,Harry Bradbeer,Henry Cavill|Sam Claflin,Spain,3-Jan-25,2005,TV-14,3 Seasons,"Action & Adventure, Romance",A compelling story of courage and survival.
s767,Movie,The Irishman 952,Anthony Russo,Ryan Gosling|Chris Evans,South Korea,28-Aug-15,2004,PG,130 min,"Documentaries, Crime",A compelling story of courage and survival.
s768,Movie,Wednesday 815,Anthony Russo,Úrsula Corberó|Álvaro Morte,Brazil,13-Jan-26,1994,PG,143 min,"Romance, Crime",A mystery unfolds with unexpected twists.
s769,TV Show,Squid Game 119,Rawson Marshall Thurber,Chris Hemsworth|Rudhraksh Jaiswal,India,6-Jan-20,1995,PG,4 Seasons,"Thriller, Crime",A compelling story of courage and survival.
s770,TV Show,Narcos 591,Martin Scorsese,Millie Bobby Brown|Finn Wolfhard,United States,11-Jan-22,2024,TV-14,3 Seasons,"Romance, Thriller",Friends face extraordinary challenges together.
s771,TV Show,Money Heist 405,Martin Scorsese,Henry Cavill|Sam Claflin,Japan,25-Dec-19,2010,TV-14,3 Seasons,"Sci-Fi & Fantasy, Romance",A thrilling adventure filled with suspense.
s772,TV Show,Wednesday Files 291,Tim Burton,Ryan Reynolds|Gal Gadot,Brazil,22-Apr-18,2010,PG,8 Seasons,"Comedy, Action & Adventure",An emotional journey of hope and resilience.
s773,TV Show,The Adam Project 722,Joe Russo,Ryan Reynolds|Gal Gadot,Canada,7-Feb-26,1999,TV-14,4 Seasons,"Thriller, Crime",A compelling story of courage and survival.
s774,Movie,The Adam Project 835,Harry Bradbeer,Jenna Ortega|Luis Guzmán,United States,15-Oct-23,2025,PG-13,137 min,"Crime, Thriller",A mystery unfolds with unexpected twists.
s775,TV Show,Wednesday 541,Rawson Marshall Thurber,Millie Bobby Brown|Finn Wolfhard,Spain,9-Oct-23,2025,PG-13,7 Seasons,"Comedy, Documentaries",Friends face extraordinary challenges together.
s776,Movie,Bridgerton 671,Tim Burton,Jenna Ortega|Luis Guzmán,Japan,26-Oct-21,2020,PG,165 min,"Action & Adventure, Comedy",A thrilling adventure filled with suspense.
s777,Movie,Dark 744,Hwang Dong-hyuk,Chris Hemsworth|Rudhraksh Jaiswal,United Kingdom,16-Mar-15,2014,PG-13,169 min,"Action & Adventure, Drama",A compelling story of courage and survival.
s778,TV Show,Extraction 121,The Duffer Brothers,Robert De Niro|Al Pacino,Brazil,11-Jan-19,2017,TV-14,8 Seasons,"Romance, Comedy",A compelling story of courage and survival.
s779,Movie,Lucifer 310,Hwang Dong-hyuk,Jenna Ortega|Luis Guzmán,France,24-Nov-23,1995,PG-13,105 min,"Romance, Action & Adventure",A mystery unfolds with unexpected twists.
s780,TV Show,Money Heist 85,Shawn Levy,Lee Jung-jae|Park Hae-soo,Germany,10-Sep-17,2004,TV-MA,1 Seasons,"Documentaries, Action & Adventure",A compelling story of courage and survival.
s781,Movie,The Crown 306,Hwang Dong-hyuk,Jenna Ortega|Luis Guzmán,India,10-Nov-25,2010,TV-MA,124 min,"Action & Adventure, Thriller",A compelling story of courage and survival.
s782,TV Show,Manifest 858,Hwang Dong-hyuk,Henry Cavill|Sam Claflin,India,7-Jun-16,2003,TV-MA,8 Seasons,"Action & Adventure, Romance",An emotional journey of hope and resilience.
s783,Movie,Ozark 126,Martin Scorsese,Jenna Ortega|Luis Guzmán,Brazil,11-Jan-25,2003,TV-14,75 min,"Comedy, Sci-Fi & Fantasy",Friends face extraordinary challenges together.
s784,Movie,Manifest 306,Anthony Russo,Henry Cavill|Sam Claflin,United Kingdom,18-Oct-17,2017,TV-MA,85 min,"Thriller, Action & Adventure",A compelling story of courage and survival.
s785,TV Show,Outer Banks 503,Anthony Russo,Henry Cavill|Sam Claflin,Canada,19-Feb-18,2024,R,8 Seasons,"Thriller, Crime",A compelling story of courage and survival.
s786,Movie,The Gray Man 146,Rawson Marshall Thurber,Úrsula Corberó|Álvaro Morte,United Kingdom,28-Oct-15,2025,TV-14,105 min,"Crime, Action & Adventure",A thrilling adventure filled with suspense.
s787,TV Show,Squid Game 391,Harry Bradbeer,Jenna Ortega|Luis Guzmán,France,19-Sep-20,2019,TV-MA,2 Seasons,"Sci-Fi & Fantasy, Crime",A mystery unfolds with unexpected twists.
s788,Movie,Wednesday 645,Rawson Marshall Thurber,Úrsula Corberó|Álvaro Morte,Canada,28-Jul-19,2026,R,143 min,"Action & Adventure, Thriller",A thrilling adventure filled with suspense.
s789,TV Show,Red Notice 988,Hwang Dong-hyuk,Úrsula Corberó|Álvaro Morte,India,2-Jul-23,2007,TV-MA,7 Seasons,"Comedy, Crime",An emotional journey of hope and resilience.
s790,TV Show,Wednesday 372,Anthony Russo,Millie Bobby Brown|Finn Wolfhard,United Kingdom,22-May-22,2004,PG,2 Seasons,"Drama, Documentaries",A mystery unfolds with unexpected twists.
s791,Movie,Money Heist 180,The Duffer Brothers,Millie Bobby Brown|Finn Wolfhard,Brazil,10-May-17,2021,TV-MA,123 min,"Crime, Documentaries",An emotional journey of hope and resilience.
s792,TV Show,Extraction 175,Anthony Russo,Ryan Gosling|Chris Evans,United Kingdom,22-Mar-17,2012,R,5 Seasons,"Romance, Thriller",An emotional journey of hope and resilience.
s793,Movie,Manifest 731,Tim Burton,Jenna Ortega|Luis Guzmán,United Kingdom,19-Mar-15,2014,R,108 min,"Sci-Fi & Fantasy, Drama",Friends face extraordinary challenges together.
s794,Movie,Bridgerton 188,Álex Pina,Robert De Niro|Al Pacino,Japan,19-May-24,2022,PG,161 min,"Sci-Fi & Fantasy, Thriller",An emotional journey of hope and resilience.
s795,Movie,The Adam Project 417,Anthony Russo,Chris Hemsworth|Rudhraksh Jaiswal,India,13-Dec-16,1994,TV-14,114 min,"Comedy, Documentaries",An emotional journey of hope and resilience.
s796,Movie,You 952,Álex Pina,Ryan Reynolds|Gal Gadot,France,30-May-21,2022,TV-14,85 min,"Documentaries, Thriller",An emotional journey of hope and resilience.
s797,Movie,Wednesday Files 195,Martin Scorsese,Ryan Gosling|Chris Evans,Germany,24-Apr-15,2012,TV-14,126 min,"Drama, Sci-Fi & Fantasy",A mystery unfolds with unexpected twists.
s798,Movie,The Irishman 77,Anthony Russo,Jenna Ortega|Luis Guzmán,Germany,18-Jan-20,2012,TV-MA,161 min,"Romance, Thriller",A mystery unfolds with unexpected twists.
s799,Movie,Ozark 936,Harry Bradbeer,Úrsula Corberó|Álvaro Morte,Germany,16-Jul-17,1997,PG,122 min,"Sci-Fi & Fantasy, Thriller",Friends face extraordinary challenges together.
s800,TV Show,Outer Banks 404,Sam Hargrave,Millie Bobby Brown|Finn Wolfhard,Germany,19-Jan-15,1992,PG-13,4 Seasons,"Documentaries, Drama",Friends face extraordinary challenges together.
s801,Movie,Ozark 306,Anthony Russo,Chris Hemsworth|Rudhraksh Jaiswal,United States,29-Apr-25,2012,TV-14,153 min,"Romance, Action & Adventure",A compelling story of courage and survival.
s802,Movie,The Gray Man 87,The Duffer Brothers,Henry Cavill|Sam Claflin,United Kingdom,13-Jan-26,2016,TV-MA,130 min,"Documentaries, Drama",A thrilling adventure filled with suspense.
s803,TV Show,Narcos 384,Rawson Marshall Thurber,Robert De Niro|Al Pacino,France,22-Jul-25,2001,R,4 Seasons,"Sci-Fi & Fantasy, Drama",A mystery unfolds with unexpected twists.
s804,TV Show,Dark 766,Joe Russo,Ryan Reynolds|Gal Gadot,Canada,19-Feb-18,2002,TV-MA,3 Seasons,"Thriller, Action & Adventure",A compelling story of courage and survival.
s805,Movie,Ozark 923,Martin Scorsese,Jenna Ortega|Luis Guzmán,Spain,11-Jun-24,2020,PG,125 min,"Comedy, Thriller",A mystery unfolds with unexpected twists.
s806,TV Show,Narcos 514,Joe Russo,Jenna Ortega|Luis Guzmán,India,15-Apr-22,1996,TV-MA,3 Seasons,"Action & Adventure, Comedy",Friends face extraordinary challenges together.
s807,Movie,Extraction 695,Anthony Russo,Ryan Gosling|Chris Evans,Brazil,21-Apr-20,1990,PG-13,173 min,"Documentaries, Action & Adventure",Friends face extraordinary challenges together.
s808,TV Show,Enola Holmes 633,Tim Burton,Henry Cavill|Sam Claflin,United Kingdom,14-Aug-24,2005,PG,2 Seasons,"Comedy, Romance",Friends face extraordinary challenges together.
s809,Movie,The Gray Man 486,Shawn Levy,Henry Cavill|Sam Claflin,Brazil,16-Aug-24,2001,TV-14,160 min,"Action & Adventure, Comedy",A compelling story of courage and survival.
s810,Movie,Squid Game 197,Tim Burton,Ryan Gosling|Chris Evans,United States,11-Nov-15,2002,TV-MA,126 min,"Drama, Thriller",A mystery unfolds with unexpected twists.
s811,TV Show,Ozark 437,Álex Pina,Ryan Reynolds|Gal Gadot,Germany,22-Dec-19,2017,TV-MA,4 Seasons,"Sci-Fi & Fantasy, Drama",Friends face extraordinary challenges together.
s812,TV Show,The Crown 253,Anthony Russo,Ryan Reynolds|Gal Gadot,United Kingdom,15-Nov-22,1992,TV-MA,5 Seasons,"Drama, Crime",Friends face extraordinary challenges together.
s813,Movie,Squid Game 931,Hwang Dong-hyuk,Chris Hemsworth|Rudhraksh Jaiswal,France,3-Aug-25,2001,PG,111 min,"Documentaries, Action & Adventure",Friends face extraordinary challenges together.
s814,TV Show,Red Notice 700,The Duffer Brothers,Jenna Ortega|Luis Guzmán,Canada,4-Mar-17,2013,PG,2 Seasons,"Crime, Comedy",Friends face extraordinary challenges together.
s815,Movie,Wednesday 909,Shawn Levy,Jenna Ortega|Luis Guzmán,Brazil,13-Aug-23,1997,TV-MA,149 min,"Thriller, Comedy",A mystery unfolds with unexpected twists.
s816,Movie,The Adam Project 743,Álex Pina,Úrsula Corberó|Álvaro Morte,Germany,10-Sep-22,1999,TV-MA,84 min,"Action & Adventure, Comedy",A mystery unfolds with unexpected twists.
s817,TV Show,Bridgerton 645,Shawn Levy,Ryan Gosling|Chris Evans,India,18-Mar-23,2020,PG-13,6 Seasons,"Drama, Comedy",An emotional journey of hope and resilience.
s818,TV Show,Extraction 979,Hwang Dong-hyuk,Ryan Reynolds|Gal Gadot,Spain,30-Jun-21,2015,PG-13,3 Seasons,"Comedy, Documentaries",A mystery unfolds with unexpected twists.
s819,TV Show,Wednesday Files 279,Sam Hargrave,Jenna Ortega|Luis Guzmán,United States,28-Dec-23,2000,R,7 Seasons,"Thriller, Sci-Fi & Fantasy",A compelling story of courage and survival.
s820,TV Show,Enola Holmes 304,Rawson Marshall Thurber,Henry Cavill|Sam Claflin,India,21-Oct-21,2000,TV-14,5 Seasons,"Drama, Sci-Fi & Fantasy",A thrilling adventure filled with suspense.
s821,TV Show,Squid Game 950,Tim Burton,Millie Bobby Brown|Finn Wolfhard,United States,28-Apr-18,2005,TV-14,1 Seasons,"Comedy, Drama",Friends face extraordinary challenges together.
s822,TV Show,You 271,Tim Burton,Ryan Gosling|Chris Evans,Brazil,12-Nov-16,2008,PG,6 Seasons,"Drama, Crime",A compelling story of courage and survival.
s823,TV Show,The Irishman 263,Martin Scorsese,Henry Cavill|Sam Claflin,Brazil,10-Apr-21,1996,PG-13,4 Seasons,"Sci-Fi & Fantasy, Romance",An emotional journey of hope and resilience.
s824,Movie,Enola Holmes 333,Rawson Marshall Thurber,Úrsula Corberó|Álvaro Morte,Brazil,1-Dec-24,2015,TV-14,179 min,"Documentaries, Comedy",A mystery unfolds with unexpected twists.
s825,TV Show,Wednesday 508,Tim Burton,Lee Jung-jae|Park Hae-soo,United Kingdom,29-Sep-25,2001,TV-14,3 Seasons,"Documentaries, Crime",A thrilling adventure filled with suspense.
s826,TV Show,The Irishman 907,Tim Burton,Ryan Gosling|Chris Evans,Brazil,15-Dec-21,2002,TV-MA,1 Seasons,"Action & Adventure, Drama",A mystery unfolds with unexpected twists.
s827,Movie,Money Heist 742,The Duffer Brothers,Jenna Ortega|Luis Guzmán,United States,11-Jan-24,1996,PG-13,133 min,"Romance, Drama",A compelling story of courage and survival.
s828,Movie,Stranger Things 255,Shawn Levy,Millie Bobby Brown|Finn Wolfhard,United Kingdom,25-Dec-15,1990,TV-MA,172 min,"Comedy, Sci-Fi & Fantasy",Friends face extraordinary challenges together.
s829,Movie,Lucifer 778,Hwang Dong-hyuk,Lee Jung-jae|Park Hae-soo,United Kingdom,14-Feb-18,2009,PG,100 min,"Documentaries, Comedy",A thrilling adventure filled with suspense.
s830,Movie,You 127,Martin Scorsese,Ryan Reynolds|Gal Gadot,India,31-Dec-20,2024,PG,144 min,"Comedy, Sci-Fi & Fantasy",A mystery unfolds with unexpected twists.
